FID,ROADNAME,NUM_LANES,SUR_TYPE,Label_Cate
2916,SOUTH A ST,2,Paved,City Street
2917,SMITH ST,2,Paved,City Street
2918,I-5R,2,Paved,Interstate Ramp
2919,I-5R,2,Paved,Interstate Ramp
2920,LAKE DR,2,Paved,City Street
2921,I-5,2,Paved,Interstate
2922,LAKE DR,2,Paved,City Street
2923,I-5,2,Paved,Interstate
2924,LAKE DR,2,Paved,City Street
2925,I-5R,2,Paved,Interstate Ramp
2926,LAKE DR,2,Paved,City Street
2927,HATCHERY LANE,2,Paved,County Road
2928,BERRY ST,2,Paved,City Street
2929,HIGH ST,2,Paved,City Street
2930,MILL ST,2,Paved,City Street
2931,HIGH ST,2,Paved,City Street
2932,S MT SHASTA BLVD,2,Paved,City Street
2933,HIGH ST,2,Paved,City Street
2934,I-5,2,Paved,Interstate
2935,I-5R,2,Paved,Interstate Ramp
2936,SOUTH A ST,2,Paved,City Street
2937,GIUADENZIO ST,2,Paved,City Street
2938,WASHINGTON DR,2,Paved,City Street
2939,GIUADENZIO ST,2,Paved,City Street
2940,WILDCAT CREEK ROAD,2,Unpaved,County Road
2941,S MT SHASTA BLVD,2,Paved,City Street
2942,SOUTH A ST,2,Paved,City Street
2943,IDA ST,2,Paved,City Street
2944,IDA ST,2,Paved,City Street
2945,SOUTH B ST,2,Paved,City Street
2946,IDA ST,2,Paved,City Street
2947,WASHINGTON DR,2,Paved,City Street
2948,IDA ST,2,Paved,City Street
2949,RODNEYS,2,Paved,County Road
2950,NORTH OLD STAGE ROAD,2,Paved,County Road
2951,HATCHERY LANE,2,Paved,County Road
2952,SOUTH OLD STAGE ROAD,2,Paved,County Road
2953,MILL ST,2,Paved,City Street
2954,BERRY ST,2,Paved,City Street
2955,FOREST ST,2,Paved,City Street
2956,FOREST ST,2,Paved,City Street
2957,FOREST ST,2,Paved,City Street
2958,RODNEYS,2,Unpaved,County Road
2959,SOUTH A ST,2,Paved,City Street
2960,EUGENE AVE,2,Paved,City Street
2961,SOUTH B ST,2,Paved,City Street
2962,EUGENE AVE,2,Paved,City Street
2963,WASHINGTON DR,2,Paved,City Street
2964,EUGENE AVE,2,Paved,City Street
2965,SOUTH A ST,2,Paved,City Street
2966,SOUTH B ST,2,Paved,City Street
2967,PERRY AVE,2,Paved,City Street
2968,WASHINGTON DR,2,Paved,City Street
2969,PERRY AVE,2,Paved,City Street
2970,HWY 3,2,Paved,State Highway
2971,MILL ST,2,Paved,City Street
2972,S MT SHASTA BLVD,2,Paved,City Street
2973,SISSON ST,2,Paved,City Street
2974,SISSON ST,2,Paved,City Street
2975,BERRY ST,2,Paved,City Street
2976,I-5R,2,Paved,Interstate Ramp
2977,I-5,2,Paved,Interstate
2978,BERRY ST,2,Paved,City Street
2979,SOUTH A ST,2,Paved,City Street
2980,SOUTH B ST,2,Paved,City Street
2981,MERRITT AVE,2,Paved,City Street
2982,WASHINGTON DR,2,Paved,City Street
2983,MERRITT AVE,2,Paved,City Street
2984,MILL ST,2,Paved,City Street
2985,SOUTH A ST,2,Paved,City Street
2986,SHELDON AVE,2,Paved,City Street
2987,SOUTH B ST,2,Paved,City Street
2988,SHELDON AVE,2,Paved,City Street
2989,WASHINGTON DR,2,Paved,City Street
2990,SHELDON AVE,2,Paved,City Street
2991,SOUTH OLD STAGE ROAD,2,Paved,County Road
2992,SOUTH OLD STAGE ROAD,2,Paved,County Road
2993,W A BARR ROAD,2,Paved,County Road
2994,W A BARR ROAD,2,Paved,County Road
2995,S MT SHASTA BLVD,2,Paved,City Street
2996,OLD MCCLOUD ROAD,2,Paved,City Street
2997,WASHINGTON DR,2,Paved,City Street
2998,SOUTH B ST,2,Paved,City Street
2999,OLD MCCLOUD ROAD,2,Paved,City Street
3000,OLD MCCLOUD ROAD,2,Paved,City Street
3001,REAM AVE,2,Paved,City Street
3002,SAWYERS BAR ROAD,2,Paved,County Road
3003,S MT SHASTA BLVD,2,Paved,City Street
3004,SAWYERS BAR ROAD,2,Paved,County Road
3005,HOLLY ST,2,Paved,City Street
3006,OAK ST,2,Paved,City Street
3007,GLEN MAR DR,2,Paved,City Street
3008,REAM AVE,2,Paved,City Street
3009,EDDY DRIVE,2,Paved,County Road
3010,DARLENE COURT,2,Paved,County Road
3011,MT VIEW DR,2,Paved,City Street
3012,MEADOW AVE,2,Paved,City Street
3013,COURT ST,2,Paved,City Street
3014,WHITES GULCH ROAD,2,Paved,County Road
3015,MEADOW AVE,2,Paved,City Street
3016,SOUTH FORK ROAD,2,Paved,County Road
3017,MT VIEW DR,2,Paved,City Street
3018,GLEN MAR DR,2,Paved,City Street
3019,ROELOFF CT,2,Paved,City Street
3020,S MT SHASTA BLVD,2,Paved,City Street
3021,OAK ST,2,Paved,City Street
3022,EDDYS GULCH ROAD,2,Paved,County Road
3023,REAM AVE,2,Paved,City Street
3024,REAM AVE,2,Paved,City Street
3025,MT VIEW DR,2,Paved,City Street
